Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10
pip fruit,bottled water,soda,rolls/buns,,,,,,
cream cheese,pork,domestic eggs,rolls/buns,curd,other vegetables,shopping bags,,,
cream cheese,coffee,newspapers,brown bread,shopping bags,hamburger meat,margarine,pastry,,
domestic eggs,curd,citrus fruit,napkins,pork,newspapers,sausage,cream cheese,shopping bags,
tropical fruit,soda,chicken,napkins,domestic eggs,yogurt,whole milk,hamburger meat,,
rolls/buns,ice cream,butter,cream cheese,other vegetables,,,,,
detergent,root vegetables,frozen vegetables,domestic eggs,coffee,curd,newspapers,,,
whole milk,other vegetables,pip fruit,margarine,bottled water,fruit/vegetable juice,,,,
chicken,other vegetables,,,,,,,,
shopping bags,brown bread,bottled water,other vegetables,citrus fruit,,,,,
root vegetables,cream cheese,frozen vegetables,tropical fruit,pastry,whole milk,rolls/buns,fruit/vegetable juice,napkins,domestic eggs
fruit/vegetable juice,sausage,,,,,,,,
cream cheese,,,,,,,,,
yogurt,rolls/buns,root vegetables,chicken,soda,,,,,
brown bread,,,,,,,,,
hamburger meat,pastry,napkins,citrus fruit,bottled water,tropical fruit,detergent,chicken,,
chicken,curd,hamburger meat,soda,,,,,,
brown bread,soda,frozen vegetables,curd,ice cream,bottled water,rolls/buns,citrus fruit,margarine,
whipped/sour cream,domestic eggs,pastry,napkins,shopping bags,chicken,detergent,,,
pork,detergent,pip fruit,soda,newspapers,pastry,shopping bags,,,
rolls/buns,margarine,napkins,coffee,yogurt,,,,,
brown bread,cream cheese,bottled water,whole milk,citrus fruit,frozen vegetables,,,,
fruit/vegetable juice,hamburger meat,cream cheese,,,,,,,
frozen vegetables,whipped/sour cream,rolls/buns,detergent,margarine,,,,,
coffee,citrus fruit,soda,frozen vegetables,domestic eggs,root vegetables,fruit/vegetable juice,whole milk,sausage,
domestic eggs,citrus fruit,cream cheese,,,,,,,
cream cheese,root vegetables,,,,,,,,
tropical fruit,,,,,,,,,
rolls/buns,coffee,domestic eggs,shopping bags,root vegetables,bottled water,pork,pastry,brown bread,
chicken,coffee,soda,napkins,pastry,domestic eggs,,,,
shopping bags,cream cheese,whipped/sour cream,fruit/vegetable juice,butter,,,,,
whole milk,chicken,,,,,,,,
other vegetables,hamburger meat,detergent,newspapers,yogurt,soda,,,,
soda,napkins,shopping bags,whole milk,whipped/sour cream,margarine,pip fruit,,,
margarine,other vegetables,,,,,,,,
rolls/buns,pork,curd,chicken,frozen vegetables,ice cream,coffee,hamburger meat,newspapers,
root vegetables,shopping bags,rolls/buns,ice cream,newspapers,,,,,
sausage,tropical fruit,whole milk,napkins,fruit/vegetable juice,domestic eggs,brown bread,,,
brown bread,chicken,,,,,,,,
fruit/vegetable juice,soda,napkins,pork,,,,,,
brown bread,margarine,rolls/buns,whole milk,,,,,,
hamburger meat,frozen vegetables,detergent,coffee,pork,,,,,
chicken,soda,rolls/buns,yogurt,pastry,pork,whole milk,coffee,,
soda,hamburger meat,whole milk,detergent,sausage,tropical fruit,coffee,whipped/sour cream,margarine,curd
curd,hamburger meat,tropical fruit,whipped/sour cream,domestic eggs,fruit/vegetable juice,pastry,soda,brown bread,
pork,hamburger meat,,,,,,,,
sausage,,,,,,,,,
margarine,brown bread,whipped/sour cream,domestic eggs,,,,,,
citrus fruit,newspapers,rolls/buns,pastry,frozen vegetables,,,,,
root vegetables,whole milk,,,,,,,,
chicken,domestic eggs,frozen vegetables,whipped/sour cream,other vegetables,sausage,,,,
cream cheese,domestic eggs,sausage,whipped/sour cream,root vegetables,rolls/buns,other vegetables,pastry,pip fruit,
citrus fruit,newspapers,hamburger meat,yogurt,butter,ice cream,chicken,pastry,pip fruit,coffee
napkins,hamburger meat,coffee,curd,margarine,ice cream,rolls/buns,,,
butter,cream cheese,pastry,yogurt,ice cream,shopping bags,,,,
citrus fruit,yogurt,tropical fruit,sausage,domestic eggs,newspapers,pastry,rolls/buns,,
pip fruit,rolls/buns,cream cheese,brown bread,citrus fruit,domestic eggs,napkins,bottled water,,
butter,bottled water,soda,brown bread,frozen vegetables,citrus fruit,fruit/vegetable juice,,,
fruit/vegetable juice,citrus fruit,cream cheese,other vegetables,pip fruit,,,,,
brown bread,detergent,rolls/buns,napkins,curd,whole milk,shopping bags,ice cream,pip fruit,tropical fruit
frozen vegetables,whipped/sour cream,coffee,napkins,tropical fruit,hamburger meat,butter,brown bread,citrus fruit,other vegetables
ice cream,butter,pastry,soda,tropical fruit,whole milk,root vegetables,,,
whipped/sour cream,chicken,bottled water,ice cream,pastry,soda,brown bread,other vegetables,hamburger meat,
whipped/sour cream,domestic eggs,pip fruit,shopping bags,rolls/buns,yogurt,,,,
napkins,soda,curd,root vegetables,whipped/sour cream,,,,,
sausage,cream cheese,,,,,,,,
coffee,rolls/buns,pastry,cream cheese,detergent,pork,newspapers,butter,whipped/sour cream,curd
frozen vegetables,butter,other vegetables,root vegetables,yogurt,margarine,sausage,pork,,
butter,cream cheese,curd,yogurt,tropical fruit,citrus fruit,,,,
pork,other vegetables,whipped/sour cream,domestic eggs,fruit/vegetable juice,ice cream,newspapers,cream cheese,margarine,
hamburger meat,pork,chicken,detergent,,,,,,
rolls/buns,margarine,root vegetables,napkins,domestic eggs,ice cream,detergent,,,
root vegetables,,,,,,,,,
sausage,,,,,,,,,
hamburger meat,chicken,yogurt,pork,whole milk,pip fruit,fruit/vegetable juice,pastry,,
napkins,tropical fruit,root vegetables,,,,,,,
rolls/buns,pip fruit,citrus fruit,pastry,tropical fruit,whipped/sour cream,shopping bags,,,
pip fruit,domestic eggs,sausage,root vegetables,rolls/buns,pork,,,,
chicken,pip fruit,curd,detergent,margarine,coffee,tropical fruit,,,
rolls/buns,whipped/sour cream,tropical fruit,ice cream,,,,,,
soda,,,,,,,,,
newspapers,detergent,chicken,coffee,bottled water,,,,,
ice cream,chicken,cream cheese,butter,,,,,,
soda,sausage,pip fruit,pastry,bottled water,rolls/buns,napkins,chicken,cream cheese,
bottled water,domestic eggs,root vegetables,pip fruit,,,,,,
root vegetables,margarine,fruit/vegetable juice,butter,whipped/sour cream,soda,domestic eggs,yogurt,rolls/buns,
margarine,,,,,,,,,
frozen vegetables,,,,,,,,,
domestic eggs,tropical fruit,,,,,,,,
hamburger meat,ice cream,whipped/sour cream,domestic eggs,napkins,pastry,whole milk,,,
soda,shopping bags,domestic eggs,frozen vegetables,hamburger meat,other vegetables,citrus fruit,curd,,
pastry,yogurt,citrus fruit,other vegetables,hamburger meat,,,,,
chicken,whole milk,cream cheese,margarine,,,,,,
pip fruit,rolls/buns,,,,,,,,
curd,ice cream,pip fruit,sausage,domestic eggs,fruit/vegetable juice,citrus fruit,pork,bottled water,
fruit/vegetable juice,pip fruit,chicken,whipped/sour cream,tropical fruit,ice cream,margarine,,,
pork,bottled water,detergent,tropical fruit,butter,,,,,
shopping bags,margarine,,,,,,,,
coffee,,,,,,,,,
root vegetables,citrus fruit,brown bread,margarine,bottled water,fruit/vegetable juice,pip fruit,frozen vegetables,,
other vegetables,pip fruit,,,,,,,,
pip fruit,frozen vegetables,cream cheese,bottled water,,,,,,
soda,,,,,,,,,
domestic eggs,coffee,other vegetables,hamburger meat,soda,detergent,chicken,,,
coffee,,,,,,,,,
hamburger meat,coffee,sausage,,,,,,,
frozen vegetables,butter,whole milk,curd,chicken,domestic eggs,napkins,soda,brown bread,
pork,pip fruit,butter,,,,,,,
citrus fruit,domestic eggs,chicken,pip fruit,,,,,,
cream cheese,pastry,,,,,,,,
shopping bags,,,,,,,,,
pork,cream cheese,sausage,curd,hamburger meat,soda,shopping bags,newspapers,detergent,pip fruit
chicken,ice cream,citrus fruit,pip fruit,shopping bags,coffee,,,,
ice cream,bottled water,whipped/sour cream,yogurt,curd,,,,,
coffee,ice cream,yogurt,newspapers,citrus fruit,shopping bags,pip fruit,cream cheese,whipped/sour cream,
cream cheese,,,,,,,,,
napkins,citrus fruit,chicken,rolls/buns,pastry,curd,pip fruit,,,
pip fruit,napkins,domestic eggs,other vegetables,,,,,,
root vegetables,newspapers,shopping bags,whipped/sour cream,whole milk,pastry,tropical fruit,pork,ice cream,brown bread
rolls/buns,root vegetables,napkins,newspapers,whole milk,margarine,chicken,pork,fruit/vegetable juice,
margarine,frozen vegetables,fruit/vegetable juice,tropical fruit,yogurt,,,,,
pip fruit,whole milk,bottled water,citrus fruit,chicken,whipped/sour cream,margarine,pork,,
rolls/buns,fruit/vegetable juice,,,,,,,,
hamburger meat,shopping bags,,,,,,,,
soda,chicken,,,,,,,,
pork,fruit/vegetable juice,soda,detergent,sausage,cream cheese,shopping bags,pastry,pip fruit,
fruit/vegetable juice,butter,detergent,whipped/sour cream,citrus fruit,other vegetables,tropical fruit,cream cheese,pork,frozen vegetables
hamburger meat,ice cream,newspapers,frozen vegetables,butter,chicken,,,,
butter,domestic eggs,newspapers,bottled water,rolls/buns,,,,,
other vegetables,,,,,,,,,
cream cheese,ice cream,pork,detergent,soda,newspapers,chicken,shopping bags,,
whole milk,pastry,hamburger meat,margarine,frozen vegetables,domestic eggs,,,,
chicken,rolls/buns,,,,,,,,
brown bread,frozen vegetables,,,,,,,,
sausage,napkins,butter,,,,,,,
pastry,sausage,,,,,,,,
detergent,ice cream,coffee,,,,,,,
bottled water,,,,,,,,,
chicken,pastry,domestic eggs,,,,,,,
whole milk,pork,margarine,ice cream,root vegetables,detergent,whipped/sour cream,,,
yogurt,,,,,,,,,
margarine,whole milk,bottled water,soda,rolls/buns,cream cheese,sausage,,,
cream cheese,citrus fruit,whipped/sour cream,napkins,yogurt,coffee,soda,pastry,,
whipped/sour cream,coffee,yogurt,shopping bags,pip fruit,,,,,
whole milk,ice cream,pip fruit,pork,other vegetables,napkins,domestic eggs,yogurt,rolls/buns,soda
hamburger meat,whole milk,bottled water,rolls/buns,pork,,,,,
napkins,coffee,bottled water,curd,detergent,sausage,tropical fruit,brown bread,soda,
whole milk,soda,,,,,,,,
pastry,chicken,,,,,,,,
newspapers,other vegetables,cream cheese,butter,pork,,,,,
root vegetables,detergent,fruit/vegetable juice,rolls/buns,citrus fruit,butter,pork,brown bread,domestic eggs,
whole milk,shopping bags,pork,domestic eggs,frozen vegetables,,,,,
coffee,frozen vegetables,whipped/sour cream,root vegetables,domestic eggs,tropical fruit,shopping bags,butter,,
soda,whole milk,,,,,,,,
rolls/buns,whipped/sour cream,tropical fruit,coffee,bottled water,brown bread,pork,,,
fruit/vegetable juice,pork,curd,pastry,cream cheese,butter,,,,
domestic eggs,pip fruit,rolls/buns,pork,,,,,,
napkins,,,,,,,,,
soda,detergent,coffee,newspapers,napkins,butter,curd,brown bread,pork,domestic eggs
brown bread,napkins,soda,shopping bags,root vegetables,frozen vegetables,curd,sausage,,
napkins,cream cheese,domestic eggs,newspapers,tropical fruit,other vegetables,yogurt,chicken,root vegetables,rolls/buns
chicken,root vegetables,sausage,curd,pip fruit,coffee,domestic eggs,pork,,
hamburger meat,pork,bottled water,,,,,,,
whole milk,butter,yogurt,shopping bags,margarine,rolls/buns,,,,
pastry,bottled water,soda,margarine,butter,chicken,citrus fruit,pip fruit,other vegetables,
yogurt,rolls/buns,citrus fruit,whole milk,butter,pastry,hamburger meat,,,
root vegetables,curd,other vegetables,,,,,,,
whipped/sour cream,tropical fruit,cream cheese,fruit/vegetable juice,butter,newspapers,pip fruit,pork,,
domestic eggs,soda,sausage,chicken,newspapers,,,,,
whipped/sour cream,detergent,bottled water,fruit/vegetable juice,sausage,,,,,
tropical fruit,domestic eggs,pip fruit,butter,frozen vegetables,citrus fruit,detergent,coffee,,
soda,bottled water,pip fruit,,,,,,,
yogurt,whole milk,whipped/sour cream,domestic eggs,cream cheese,,,,,
domestic eggs,pip fruit,brown bread,,,,,,,
curd,rolls/buns,,,,,,,,
pork,coffee,pip fruit,tropical fruit,whipped/sour cream,rolls/buns,fruit/vegetable juice,margarine,frozen vegetables,whole milk
pork,,,,,,,,,
domestic eggs,fruit/vegetable juice,butter,coffee,whipped/sour cream,cream cheese,whole milk,newspapers,,
newspapers,margarine,pork,shopping bags,,,,,,
domestic eggs,,,,,,,,,
fruit/vegetable juice,,,,,,,,,
sausage,brown bread,shopping bags,pastry,pork,pip fruit,newspapers,hamburger meat,cream cheese,bottled water
pip fruit,,,,,,,,,
hamburger meat,pork,root vegetables,coffee,,,,,,
margarine,butter,detergent,pastry,,,,,,
detergent,,,,,,,,,
root vegetables,newspapers,citrus fruit,cream cheese,sausage,,,,,
root vegetables,bottled water,detergent,other vegetables,butter,hamburger meat,napkins,yogurt,pastry,
whipped/sour cream,domestic eggs,newspapers,brown bread,soda,curd,,,,
shopping bags,tropical fruit,,,,,,,,
citrus fruit,whole milk,bottled water,,,,,,,
pip fruit,pastry,pork,sausage,other vegetables,chicken,frozen vegetables,cream cheese,,
soda,sausage,hamburger meat,butter,whipped/sour cream,citrus fruit,,,,
napkins,pork,shopping bags,pip fruit,root vegetables,,,,,
margarine,curd,whipped/sour cream,pastry,,,,,,
pip fruit,whipped/sour cream,fruit/vegetable juice,margarine,,,,,,
napkins,shopping bags,other vegetables,coffee,domestic eggs,,,,,
yogurt,ice cream,curd,pork,chicken,tropical fruit,domestic eggs,,,
yogurt,shopping bags,frozen vegetables,rolls/buns,,,,,,
butter,domestic eggs,whole milk,curd,newspapers,rolls/buns,pork,,,
whole milk,whipped/sour cream,,,,,,,,
pastry,hamburger meat,chicken,soda,brown bread,,,,,
whipped/sour cream,citrus fruit,napkins,pip fruit,fruit/vegetable juice,other vegetables,,,,
whipped/sour cream,domestic eggs,cream cheese,margarine,,,,,,
pork,whole milk,,,,,,,,
tropical fruit,other vegetables,,,,,,,,
citrus fruit,pip fruit,ice cream,root vegetables,domestic eggs,curd,yogurt,,,
cream cheese,whipped/sour cream,frozen vegetables,pork,margarine,hamburger meat,shopping bags,sausage,,
detergent,chicken,domestic eggs,curd,whole milk,,,,,
root vegetables,tropical fruit,fruit/vegetable juice,curd,bottled water,,,,,
margarine,detergent,tropical fruit,butter,pastry,hamburger meat,,,,
whipped/sour cream,butter,bottled water,other vegetables,napkins,hamburger meat,frozen vegetables,coffee,margarine,tropical fruit
tropical fruit,fruit/vegetable juice,coffee,root vegetables,other vegetables,soda,,,,
butter,napkins,frozen vegetables,bottled water,chicken,soda,yogurt,,,
whipped/sour cream,hamburger meat,root vegetables,,,,,,,
pastry,fruit/vegetable juice,hamburger meat,napkins,whole milk,root vegetables,soda,detergent,butter,
frozen vegetables,shopping bags,yogurt,pip fruit,root vegetables,other vegetables,whipped/sour cream,brown bread,,
shopping bags,newspapers,brown bread,yogurt,whipped/sour cream,soda,napkins,curd,domestic eggs,ice cream
root vegetables,yogurt,tropical fruit,soda,margarine,,,,,
bottled water,,,,,,,,,
hamburger meat,butter,citrus fruit,bottled water,fruit/vegetable juice,pip fruit,curd,detergent,,
ice cream,napkins,coffee,,,,,,,
margarine,whole milk,domestic eggs,shopping bags,fruit/vegetable juice,pork,sausage,butter,coffee,detergent
fruit/vegetable juice,whipped/sour cream,rolls/buns,whole milk,,,,,,
brown bread,butter,chicken,shopping bags,domestic eggs,whole milk,tropical fruit,sausage,,
margarine,sausage,ice cream,fruit/vegetable juice,curd,rolls/buns,hamburger meat,,,
curd,coffee,sausage,margarine,bottled water,rolls/buns,,,,
soda,,,,,,,,,
pip fruit,margarine,coffee,butter,other vegetables,,,,,
pork,,,,,,,,,
butter,cream cheese,margarine,pork,pip fruit,ice cream,curd,,,
domestic eggs,brown bread,soda,rolls/buns,,,,,,
pip fruit,other vegetables,detergent,pork,bottled water,chicken,,,,
brown bread,,,,,,,,,
margarine,napkins,ice cream,citrus fruit,cream cheese,hamburger meat,detergent,pip fruit,,
cream cheese,coffee,pastry,tropical fruit,,,,,,
fruit/vegetable juice,brown bread,,,,,,,,
newspapers,pork,shopping bags,sausage,chicken,tropical fruit,,,,
cream cheese,pip fruit,rolls/buns,yogurt,other vegetables,chicken,frozen vegetables,citrus fruit,margarine,whipped/sour cream
brown bread,hamburger meat,chicken,rolls/buns,,,,,,
bottled water,other vegetables,yogurt,brown bread,shopping bags,hamburger meat,ice cream,root vegetables,whole milk,
ice cream,newspapers,,,,,,,,
newspapers,napkins,margarine,ice cream,bottled water,cream cheese,,,,
pastry,bottled water,whipped/sour cream,yogurt,frozen vegetables,curd,napkins,detergent,margarine,soda
frozen vegetables,margarine,rolls/buns,pip fruit,,,,,,
whipped/sour cream,rolls/buns,domestic eggs,pastry,,,,,,
detergent,curd,ice cream,root vegetables,bottled water,rolls/buns,shopping bags,,,
frozen vegetables,rolls/buns,,,,,,,,
chicken,coffee,domestic eggs,,,,,,,
brown bread,domestic eggs,bottled water,coffee,soda,cream cheese,frozen vegetables,napkins,newspapers,detergent
pastry,brown bread,citrus fruit,,,,,,,
margarine,whole milk,napkins,citrus fruit,brown bread,,,,,
citrus fruit,curd,detergent,newspapers,shopping bags,fruit/vegetable juice,other vegetables,margarine,rolls/buns,
rolls/buns,napkins,butter,yogurt,ice cream,,,,,
citrus fruit,whipped/sour cream,pork,coffee,frozen vegetables,other vegetables,pip fruit,sausage,fruit/vegetable juice,soda
napkins,shopping bags,pork,butter,whole milk,bottled water,other vegetables,margarine,whipped/sour cream,hamburger meat
rolls/buns,fruit/vegetable juice,cream cheese,yogurt,,,,,,
margarine,frozen vegetables,brown bread,napkins,pork,fruit/vegetable juice,detergent,,,
pastry,newspapers,,,,,,,,
ice cream,yogurt,tropical fruit,root vegetables,chicken,,,,,
frozen vegetables,curd,rolls/buns,hamburger meat,margarine,domestic eggs,brown bread,sausage,,
root vegetables,pip fruit,other vegetables,coffee,detergent,brown bread,tropical fruit,domestic eggs,,
sausage,domestic eggs,shopping bags,,,,,,,
hamburger meat,newspapers,pork,cream cheese,chicken,yogurt,whipped/sour cream,,,
newspapers,,,,,,,,,
bottled water,domestic eggs,sausage,whipped/sour cream,detergent,other vegetables,coffee,rolls/buns,,
tropical fruit,detergent,,,,,,,,
newspapers,butter,whipped/sour cream,whole milk,pork,napkins,,,,
